ano,id_municipio,tipo_domicilio,grupo_idade,cor_raca,moradores
2022,2913606,Habitação em casa de cômodos ou cortiço,5 a 9 anos,Indígena,1
2022,2913606,Habitação em casa de cômodos ou cortiço,20 a 24 anos,Parda,20
2022,2913606,Habitação em casa de cômodos ou cortiço,75 a 79 anos,Branca,
2022,2913606,Habitação em casa de cômodos ou cortiço,0 a 4 anos,Preta,7
2022,2913606,Habitação em casa de cômodos ou cortiço,90 a 94 anos,Branca,
2022,2913606,Habitação em casa de cômodos ou cortiço,10 a 14 anos,Preta,5
2022,2913606,Habitação em casa de cômodos ou cortiço,95 a 99 anos,Branca,
2022,2913606,Habitação em casa de cômodos ou cortiço,85 a 89 anos,Amarela,
2022,2913606,Habitação em casa de cômodos ou cortiço,100 anos ou mais,Preta,
2022,2913606,Habitação em casa de cômodos ou cortiço,55 a 59 anos,Amarela,
2022,2913606,Habitação indígena sem paredes ou maloca,5 a 9 anos,Preta,
2022,2913606,Habitação indígena sem paredes ou maloca,60 a 64 anos,Branca,
2022,2913606,Habitação indígena sem paredes ou maloca,35 a 39 anos,Amarela,
2022,2913606,Habitação indígena sem paredes ou maloca,15 a 19 anos,Branca,
2022,2913606,Habitação indígena sem paredes ou maloca,70 a 74 anos,Branca,
2022,2913606,Habitação indígena sem paredes ou maloca,5 a 9 anos,Amarela,
2022,2913606,Habitação indígena sem paredes ou maloca,45 a 49 anos,Indígena,
2022,2913606,Habitação indígena sem paredes ou maloca,50 a 54 anos,Preta,
2022,2913606,Habitação indígena sem paredes ou maloca,70 a 74 anos,Preta,
2022,2913606,Habitação indígena sem paredes ou maloca,85 a 89 anos,Preta,
2022,2913606,Habitação indígena sem paredes ou maloca,75 a 79 anos,Indígena,
2022,2913606,Habitação indígena sem paredes ou maloca,30 a 34 anos,Amarela,
2022,2913606,Habitação indígena sem paredes ou maloca,75 a 79 anos,Amarela,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,75 a 79 anos,Preta,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,85 a 89 anos,Preta,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,0 a 4 anos,Parda,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,50 a 54 anos,Preta,3
2022,2913606,Estrutura residencial permanente degradada ou inacabada,80 a 84 anos,Parda,1
2022,2913606,Estrutura residencial permanente degradada ou inacabada,80 a 84 anos,Preta,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,40 a 44 anos,Branca,2
2022,2913606,Estrutura residencial permanente degradada ou inacabada,5 a 9 anos,Preta,2
2022,2913606,Estrutura residencial permanente degradada ou inacabada,60 a 64 anos,Amarela,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,80 a 84 anos,Branca,1
2022,2913606,Estrutura residencial permanente degradada ou inacabada,5 a 9 anos,Branca,1
2022,2913606,Estrutura residencial permanente degradada ou inacabada,5 a 9 anos,Indígena,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,55 a 59 anos,Parda,
2022,2913606,Estrutura residencial permanente degradada ou inacabada,55 a 59 anos,Preta,
2022,2913606,Casa,0 a 4 anos,Branca,1645
2022,2913606,Casa,20 a 24 anos,Amarela,12
2022,2913606,Casa,35 a 39 anos,Amarela,18
2022,2913606,Casa,25 a 29 anos,Indígena,488
2022,2913606,Casa,65 a 69 anos,Amarela,9
2022,2913606,Casa,75 a 79 anos,Indígena,120
2022,2913606,Casa,80 a 84 anos,Indígena,67
2022,2913606,Casa,55 a 59 anos,Amarela,16
2022,2913606,Casa,40 a 44 anos,Amarela,11
2022,2913606,Casa,80 a 84 anos,Amarela,6
2022,2913606,Casa,85 a 89 anos,Parda,539
2022,2913606,Casa,60 a 64 anos,Preta,1848
2022,2913606,Casa,75 a 79 anos,Preta,543
2022,2913606,Casa,15 a 19 anos,Preta,2653
2022,2913606,Casa,65 a 69 anos,Branca,1050
2022,2913606,Casa,95 a 99 anos,Preta,38
2022,2913606,Casa,45 a 49 anos,Branca,1466
2022,2913606,Apartamento,5 a 9 anos,Amarela,5
2022,2913606,Apartamento,10 a 14 anos,Branca,393
2022,2913606,Apartamento,85 a 89 anos,Preta,9
2022,2913606,Apartamento,5 a 9 anos,Indígena,21
2022,2913606,Apartamento,85 a 89 anos,Indígena,
2022,2913606,Apartamento,5 a 9 anos,Parda,958
2022,2913606,Apartamento,10 a 14 anos,Amarela,5
2022,2913606,Apartamento,40 a 44 anos,Parda,1307
2022,2913606,Casa de vila ou em condomínio,5 a 9 anos,Preta,23
2022,2913606,Casa de vila ou em condomínio,0 a 4 anos,Amarela,
2022,2913606,Casa de vila ou em condomínio,95 a 99 anos,Parda,1
2022,2913606,Casa de vila ou em condomínio,80 a 84 anos,Parda,16
2022,2913606,Casa de vila ou em condomínio,55 a 59 anos,Parda,72
2022,2913606,Casa de vila ou em condomínio,55 a 59 anos,Branca,61
2022,2913606,Casa de vila ou em condomínio,40 a 44 anos,Parda,161
2022,2913606,Casa de vila ou em condomínio,40 a 44 anos,Indígena,5
2022,2913606,Casa de vila ou em condomínio,50 a 54 anos,Preta,23
2022,2913606,Casa de vila ou em condomínio,55 a 59 anos,Preta,24
2022,2913606,Casa de vila ou em condomínio,15 a 19 anos,Indígena,7
2022,2913606,Casa de vila ou em condomínio,0 a 4 anos,Branca,70
2022,2913606,Casa de vila ou em condomínio,15 a 19 anos,Parda,105
2022,2913606,Casa de vila ou em condomínio,5 a 9 anos,Amarela,1
2022,2913606,Habitação em casa de cômodos ou cortiço,85 a 89 anos,Branca,
2022,2913606,Habitação em casa de cômodos ou cortiço,80 a 84 anos,Branca,
2022,2913606,Habitação em casa de cômodos ou cortiço,50 a 54 anos,Indígena,
2022,2913606,Habitação em casa de cômodos ou cortiço,35 a 39 anos,Amarela,
2022,2913606,Habitação em casa de cômodos ou cortiço,90 a 94 anos,Amarela,
2022,2913606,Habitação em casa de cômodos ou cortiço,10 a 14 anos,Parda,15
2022,2913606,Habitação em casa de cômodos ou cortiço,15 a 19 anos,Preta,6
