ano,id_municipio,tipo_destino_lixo,grupo_idade,cor_raca,moradores
2022,2913606,Depositado em caçamba de serviço de limpeza,25 a 29 anos,Preta,717
2022,2913606,Coletado,55 a 59 anos,Preta,2054
2022,2913606,Outro destino,70 a 74 anos,Preta,8
2022,2913606,Enterrado na propriedade,5 a 9 anos,Preta,2
2022,2913606,Depositado em caçamba de serviço de limpeza,20 a 24 anos,Preta,807
2022,2913606,Coletado,10 a 14 anos,Preta,2179
2022,2913606,Queimado na propriedade,80 a 84 anos,Preta,27
2022,2913606,Outro destino,25 a 29 anos,Preta,22
2022,2913606,Coletado no domicílio por serviço de limpeza,80 a 84 anos,Branca,476
2022,2913606,Enterrado na propriedade,80 a 84 anos,Branca,
2022,2913606,Outro destino,10 a 14 anos,Branca,23
2022,2913606,Enterrado na propriedade,90 a 94 anos,Branca,1
2022,2913606,Coletado,80 a 84 anos,Branca,543
2022,2913606,Depositado em caçamba de serviço de limpeza,5 a 9 anos,Branca,367
2022,2913606,Outro destino,20 a 24 anos,Branca,13
2022,2913606,Outro destino,30 a 34 anos,Branca,15
2022,2913606,Enterrado na propriedade,40 a 44 anos,Branca,8
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",60 a 64 anos,Branca,13
2022,2913606,Queimado na propriedade,65 a 69 anos,Branca,50
2022,2913606,Depositado em caçamba de serviço de limpeza,15 a 19 anos,Branca,359
2022,2913606,Depositado em caçamba de serviço de limpeza,40 a 44 anos,Amarela,3
2022,2913606,Queimado na propriedade,15 a 19 anos,Amarela,1
2022,2913606,Coletado no domicílio por serviço de limpeza,55 a 59 anos,Amarela,19
2022,2913606,Outro destino,85 a 89 anos,Amarela,
2022,2913606,Depositado em caçamba de serviço de limpeza,55 a 59 anos,Amarela,1
2022,2913606,Depositado em caçamba de serviço de limpeza,5 a 9 anos,Amarela,2
2022,2913606,Depositado em caçamba de serviço de limpeza,30 a 34 anos,Amarela,2
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",30 a 34 anos,Amarela,
2022,2913606,Outro destino,40 a 44 anos,Amarela,
