id_municipio,forma_declaracao_idade,sexo,idade,idade_anos,grupo_idade,populacao_residente
2913606,Idade presumida,Homens,58 anos,58.0,55 a 59 anos,174
2913606,Data de nascimento,Homens,59 anos,59.0,55 a 59 anos,840
2913606,Data de nascimento,Mulheres,6 meses,0.5,0 a 4 anos,79
2913606,Idade presumida,Mulheres,62 anos,62.0,60 a 64 anos,191
2913606,Data de nascimento,Homens,64 anos,64.0,60 a 64 anos,705
2913606,Data de nascimento,Mulheres,64 anos,64.0,60 a 64 anos,831
2913606,Data de nascimento,Mulheres,66 anos,66.0,65 a 69 anos,685
2913606,Data de nascimento,Mulheres,67 anos,67.0,65 a 69 anos,695
2913606,Data de nascimento,Mulheres,68 anos,68.0,65 a 69 anos,586
2913606,Data de nascimento,Homens,7 meses,0.58333333333333337,0 a 4 anos,85
2913606,Idade presumida,Homens,70 anos,70.0,70 a 74 anos,134
2913606,Idade presumida,Mulheres,71 anos,71.0,70 a 74 anos,47
2913606,Data de nascimento,Mulheres,71 anos,71.0,70 a 74 anos,497
2913606,Data de nascimento,Homens,76 anos,76.0,75 a 79 anos,227
2913606,Data de nascimento,Homens,77 anos,77.0,75 a 79 anos,223
2913606,Data de nascimento,Mulheres,78 anos,78.0,75 a 79 anos,279
2913606,Data de nascimento,Mulheres,79 anos,79.0,75 a 79 anos,250
2913606,Idade presumida,Mulheres,79 anos,79.0,75 a 79 anos,55
2913606,Idade presumida,Homens,79 anos,79.0,75 a 79 anos,40
2913606,Data de nascimento,Mulheres,80 anos,80.0,80 a 84 anos,200
2913606,Idade presumida,Mulheres,82 anos,82.0,80 a 84 anos,81
2913606,Data de nascimento,Mulheres,89 anos,89.0,85 a 89 anos,75
2913606,Idade presumida,Homens,99 anos,99.0,95 a 99 anos,2
2913606,Idade presumida,Homens,98 anos,98.0,95 a 99 anos,4
2913606,Idade presumida,Homens,2 meses,0.16666666666666666,0 a 4 anos,5
2913606,Idade presumida,Mulheres,11 meses,0.083333333333333329,0 a 4 anos,6
2913606,Idade presumida,Homens,92 anos,92.0,90 a 94 anos,11
2913606,Idade presumida,Mulheres,91 anos,91.0,90 a 94 anos,16
2913606,Idade presumida,Mulheres,94 anos,94.0,90 a 94 anos,17
2913606,Idade presumida,Homens,81 anos,81.0,80 a 84 anos,23
2913606,Data de nascimento,Homens,90 anos,90.0,90 a 94 anos,35
2913606,Data de nascimento,Mulheres,1 ano,1.0,0 a 4 anos,842
2913606,Data de nascimento,Mulheres,1 mês,,100 anos ou mais,67
2913606,Data de nascimento,Mulheres,14 anos,14.0,10 a 14 anos,985
2913606,Idade presumida,Mulheres,14 anos,14.0,10 a 14 anos,206
2913606,Idade presumida,Homens,15 anos,15.0,15 a 19 anos,260
2913606,Idade presumida,Homens,16 anos,16.0,15 a 19 anos,246
2913606,Idade presumida,Homens,17 anos,17.0,15 a 19 anos,251
2913606,Idade presumida,Homens,20 anos,20.0,20 a 24 anos,261
2913606,Idade presumida,Homens,21 anos,21.0,20 a 24 anos,231
2913606,Data de nascimento,Mulheres,27 anos,27.0,25 a 29 anos,1077
2913606,Data de nascimento,Homens,27 anos,27.0,25 a 29 anos,970
2913606,Idade presumida,Homens,28 anos,28.0,25 a 29 anos,245
2913606,Data de nascimento,Mulheres,28 anos,28.0,25 a 29 anos,1064
2913606,Data de nascimento,Homens,29 anos,29.0,25 a 29 anos,904
2913606,Data de nascimento,Homens,32 anos,32.0,30 a 34 anos,820
2913606,Data de nascimento,Mulheres,33 anos,33.0,30 a 34 anos,1154
2913606,Data de nascimento,Mulheres,34 anos,34.0,30 a 34 anos,1244
2913606,Idade presumida,Homens,35 anos,35.0,35 a 39 anos,340
2913606,Idade presumida,Homens,37 anos,37.0,35 a 39 anos,204
2913606,Data de nascimento,Mulheres,39 anos,39.0,35 a 39 anos,1350
2913606,Data de nascimento,Homens,49 anos,49.0,45 a 49 anos,955
2913606,Idade presumida,Mulheres,51 anos,51.0,50 a 54 anos,158
2913606,Idade presumida,Homens,54 anos,54.0,50 a 54 anos,199
2913606,Data de nascimento,Mulheres,56 anos,56.0,55 a 59 anos,1003
2913606,Idade presumida,Homens,56 anos,56.0,55 a 59 anos,171
2913606,Data de nascimento,Homens,58 anos,58.0,55 a 59 anos,831
2913606,Idade presumida,Homens,59 anos,59.0,55 a 59 anos,162
2913606,Data de nascimento,Mulheres,59 anos,59.0,55 a 59 anos,927
2913606,Data de nascimento,Homens,60 anos,60.0,60 a 64 anos,789
2913606,Idade presumida,Homens,60 anos,60.0,60 a 64 anos,303
2913606,Data de nascimento,Mulheres,63 anos,63.0,60 a 64 anos,784
2913606,Idade presumida,Homens,64 anos,64.0,60 a 64 anos,135
2913606,Data de nascimento,Homens,65 anos,65.0,65 a 69 anos,615
2913606,Idade presumida,Mulheres,67 anos,67.0,65 a 69 anos,105
2913606,Data de nascimento,Mulheres,72 anos,72.0,70 a 74 anos,498
2913606,Idade presumida,Homens,73 anos,73.0,70 a 74 anos,81
2913606,Data de nascimento,Mulheres,74 anos,74.0,70 a 74 anos,380
2913606,Idade presumida,Mulheres,74 anos,74.0,70 a 74 anos,86
