ano,id_municipio,tipo_ligacao_rede_geral,grupo_idade,cor_raca,moradores
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",60 a 64 anos,Indígena,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",60 a 64 anos,Indígena,11
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",65 a 69 anos,Indígena,1
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",65 a 69 anos,Parda,99
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",65 a 69 anos,Branca,2
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,70 a 74 anos,Indígena,96
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",70 a 74 anos,Amarela,1
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",70 a 74 anos,Preta,25
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",70 a 74 anos,Parda,54
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",70 a 74 anos,Preta,
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",75 a 79 anos,Branca,8
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,75 a 79 anos,Parda,7
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",75 a 79 anos,Branca,5
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",75 a 79 anos,Branca,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",75 a 79 anos,Preta,1
2022,2913606,Não possui ligação com a rede geral - Carro-pipa,80 a 84 anos,Indígena,
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",80 a 84 anos,Branca,11
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,80 a 84 anos,Preta,2
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",80 a 84 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",80 a 84 anos,Preta,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa",80 a 84 anos,Branca,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",80 a 84 anos,Parda,16
2022,2913606,Não possui ligação com a rede geral - Outra,85 a 89 anos,Indígena,1
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,85 a 89 anos,Preta,197
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",85 a 89 anos,Amarela,
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",85 a 89 anos,Branca,3
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",85 a 89 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",85 a 89 anos,Preta,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",85 a 89 anos,Amarela,
2022,2913606,Não possui ligação com a rede geral - Outra,90 a 94 anos,Branca,
2022,2913606,Não possui ligação com a rede geral - Outra,90 a 94 anos,Preta,1
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",90 a 94 anos,Preta,
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",90 a 94 anos,Indígena,1
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",90 a 94 anos,Parda,
2022,2913606,Não possui ligação com a rede geral - Carro-pipa,95 a 99 anos,Indígena,
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,95 a 99 anos,Indígena,4
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",95 a 99 anos,Branca,3
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",95 a 99 anos,Indígena,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",95 a 99 anos,Preta,1
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",100 anos ou mais,Parda,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada",100 anos ou mais,Amarela,
2022,2913606,Não possui ligação com a rede geral - Carro-pipa,0 a 4 anos,Amarela,
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,0 a 4 anos,Branca,117
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",0 a 4 anos,Parda,134
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",0 a 4 anos,Parda,12
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",0 a 4 anos,Indígena,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",0 a 4 anos,Preta,1
2022,2913606,Não possui ligação com a rede geral - Outra,5 a 9 anos,Amarela,
2022,2913606,Não possui ligação com a rede geral - Outra,5 a 9 anos,Parda,76
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,5 a 9 anos,Parda,5799
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",5 a 9 anos,Branca,60
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",5 a 9 anos,Branca,3
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",5 a 9 anos,Branca,1
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",10 a 14 anos,Indígena,134
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",10 a 14 anos,Preta,71
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,10 a 14 anos,Indígena,2
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",10 a 14 anos,Amarela,
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",15 a 19 anos,Branca,36
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",15 a 19 anos,Preta,5
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada",15 a 19 anos,Branca,1
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,20 a 24 anos,Amarela,15
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,20 a 24 anos,Indígena,1
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",20 a 24 anos,Parda,132
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",20 a 24 anos,Indígena,2
2022,2913606,Não possui ligação com a rede geral - Carro-pipa,25 a 29 anos,Indígena,1
2022,2913606,Não possui ligação com a rede geral - Carro-pipa,25 a 29 anos,Preta,2
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,25 a 29 anos,Preta,4
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",25 a 29 anos,Amarela,
2022,2913606,Não possui ligação com a rede geral - Outra,30 a 34 anos,Parda,43
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,30 a 34 anos,Parda,5615
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",30 a 34 anos,Branca,25
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa",30 a 34 anos,Indígena,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",30 a 34 anos,Indígena,1
2022,2913606,Não possui ligação com a rede geral - Outra,35 a 39 anos,Branca,17
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,35 a 39 anos,Branca,1927
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",35 a 39 anos,Amarela,2
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa",40 a 44 anos,Preta,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",40 a 44 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",40 a 44 anos,Parda,156
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",40 a 44 anos,Branca,
2022,2913606,Não possui ligação com a rede geral - Carro-pipa,45 a 49 anos,Indígena,1
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",45 a 49 anos,Preta,2
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada",45 a 49 anos,Branca,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada",45 a 49 anos,Indígena,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",45 a 49 anos,Parda,12
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",45 a 49 anos,Parda,4
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,50 a 54 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",50 a 54 anos,Branca,2
2022,2913606,Não possui ligação com a rede geral,55 a 59 anos,Branca,241
2022,2913606,Não possui ligação com a rede geral - Carro-pipa,55 a 59 anos,Parda,6
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,55 a 59 anos,Preta,168
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa",55 a 59 anos,Branca,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",55 a 59 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",55 a 59 anos,Preta,40
2022,2913606,"Não possui ligação com a rede geral - Fonte, nascente ou mina",60 a 64 anos,Branca,27
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada",65 a 69 anos,Preta,
